latitude,longitude,address
33.3723798,126.8542528,제주특별자치도 서귀포시 성산읍 삼달로 137
33.3727764,126.8272083,제주특별자치도 서귀포시 성산읍 남산봉로 120
33.3730412,126.3817708,제주특별자치도 제주시 애월읍 평화로 1738-116
33.3742638,126.84679,제주특별자치도 서귀포시 성산읍 삼달로 215
33.375532,126.328625,제주특별자치도 제주시 애월읍 월각로 563-20
33.37598,126.2156728,제주특별자치도 제주시 한림읍 월령1길 11
33.3769025,126.2360608,제주특별자치도 제주시 한림읍 금능리 2243-2
33.379434,126.2163718,제주특별자치도 제주시 한림읍 월령3길 39-5
33.3812579,126.8772928,제주특별자치도 서귀포시 성산읍 일주동로 5101-1
33.3818906,126.2625436,제주특별자치도 제주시 한림읍 협재남6길 140
33.3844608,126.8013996,제주특별자치도 서귀포시 표선면 성읍리 855-3
33.3885783,126.2312842,제주특별자치도 제주시 한림읍 금능6길 19
33.389238,126.2313929,제주특별자치도 제주시 한림읍 금능길 79
33.389362,126.249381,제주특별자치도 제주시 한림읍 일주서로 5083-5 
33.3895573,126.2679393,제주특별자치도 제주시 한림읍 하운당길 16-1
33.3898147,126.8308458,제주특별자치도 서귀포시 성산읍 중산간동로 4328-63
33.3899905,126.2689668,제주특별자치도 제주시 한림읍 하운당길 32
33.3904592,126.8019702,제주특별자치도 서귀포시 표선면 성읍정의현로 88-10
33.3908635,126.2375622,제주특별자치도 제주시 한림읍 금능리 2018
33.3921956,126.2412391,제주특별자치도 제주시 한림읍 협재2길 10
33.3925018,126.242479,제주특별자치도 제주시 한림읍 협재2길 26
33.3926876,126.4948419,제주특별자치도 제주시 1100로 2070-61
33.394133,126.3734284,제주특별자치도 제주시 애월읍 평화로 1885
33.3941574,126.7981916,제주특별자치도 서귀포시 표선면 성읍리 1632-6
33.3969554,126.2498365,제주특별자치도 제주시 한림읍 옹포2길 44
33.3973526,126.2460638,제주특별자치도 제주시 한림읍 협재리 1560-3
33.3984189,126.2445067,제주특별자치도 제주시 한림읍 협재3길 9 
33.3985453,126.7871191,제주특별자치도 서귀포시 표선면 번영로2650
33.399049,126.3251931,제주특별자치도 제주시 애월읍 돈물내길 16
33.3993861,126.2499965,제주특별자치도 제주시 한림읍 옹포2길 16
33.3998489,126.2497182,제주특별자치도 제주시 한림읍 옹포2길 10
33.400218,126.253123,제주특별자치도 제주시 옹포 4길 20 101동
33.400218,126.253123,제주특별자치도 제주시 옹포 4길 20 102동
33.4008328,126.250451,제주특별자치도 제주시 한림읍 옹포2길 1
33.4009899,126.8709033,제주특별자치도 서귀포시 성산읍 난산리 1074
33.4014447,126.6757628,제주특별자치도 서귀포시 표선면 남조로 1487-73
33.4024873,126.9025737,제주특별자치도 서귀포시 성산읍 온평포구로 63
33.402903,126.3472261,제주특별자치도 제주시 애월읍 어음13길 25-45
33.4041252,126.8131414,제주특별자치도 서귀포시 표선면 서성일로189번길 1
33.4041415,126.2588227,제주특별자치도 제주시 한림읍 옹포남3길 19
33.4047469,126.372618,제주특별자치도 제주시 애월읍 도치돌길 385
33.4059502,126.4079691,제주특별자치도 제주시 애월읍 녹고메길 165
33.4060416,126.8196657,제주특별자치도 서귀포시 성산읍 난산리 2967
33.4081232,126.9001909,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6
33.4086536,126.3173306,제주특별자치도 제주시 애월읍 녹근로 130
33.4094261,126.2685896,제주특별자치도 제주시 한림읍 한림리 887-2
33.4099569,126.3657428,제주특별자치도 제주시 애월읍 도치돌길 293
33.4102406,126.2626357,제주특별자치도 제주시 한림읍 문교길 27
33.4105236,126.2583731,제주특별자치도 제주시 한림읍 한림리 1377-48
33.412307,126.269713,제주특별자치도 제주시 한림읍 강구로 5
33.4128709,126.2626365,제주특별자치도 제주시 한림읍 한림리 1441-4
33.4131549,126.4185384,제주특별자치도 제주시 애월읍 유수암평화10길 175-78
33.4131581,126.3941587,제주특별자치도 제주시 애월읍 소길리 155-18
33.413899,126.4937211,제주특별자치도 제주시 노형동 3829
33.4153297,126.7709701,제주특별자치도 서귀포시 표선면 성읍이리로47번길 11
33.4159088,126.2673549,제주특별자치도 제주시 한림읍 한림로14길 13
33.4159088,126.2673549,제주특별자치도 제주시 한림읍 한림로14길 13 
33.4163924,126.332528,제주특별자치도 제주시 애월읍 어림비로 203
33.4166226,126.2739709,제주특별자치도 제주시 한림읍 명랑남동길 25 
33.4173496,126.2730509,제주특별자치도 제주시 한림읍 한수풀로2길 31
